x,SO₂
60.0,234.5
61.0,235.0
62.0,235.5
63.0,235.5
64.0,235.5
65.0,235.5
66.0,236.0
69.0,232.0
70.0,232.0
71.0,232.5
72.0,233.0
73.0,234.0
74.0,234.5
75.0,234.5
76.0,234.5
77.0,234.0
78.0,233.5
86.0,235.5
88.0,230.5
92.0,232.0
93.0,234.5
130.0,235.5
159.0,237.5
160.0,238.5
161.0,239.0
167.0,233.5
168.0,235.0
169.0,237.0
170.0,238.0
171.0,238.5
172.0,238.5
173.0,238.5
174.0,238.5
175.0,238.5
176.0,238.5
177.0,238.5
178.0,238.5
179.0,238.5
180.0,237.0
181.0,236.0
182.0,235.0
183.0,234.5
184.0,234.5
185.0,234.0
186.0,233.5
187.0,233.5
188.0,233.5
189.0,234.0
190.0,235.0
191.0,235.0
192.0,235.5
193.0,237.0
197.0,238.0
198.0,238.0
199.0,238.5
206.0,236.5
207.0,237.0
208.0,238.0
209.0,238.5
210.0,238.5
211.0,238.5
212.0,238.5
213.0,238.5
214.0,238.5
215.0,238.5
216.0,238.5
217.0,238.5
218.0,238.5
219.0,238.5
220.0,238.0
225.0,235.5
226.0,236.5
227.0,237.0
228.0,238.5
229.0,238.5
230.0,238.5
231.0,238.5
232.0,238.5
233.0,238.5
234.0,238.5
235.0,238.5
236.0,238.5
237.0,238.5
238.0,238.5
239.0,237.5
245.0,230.0
246.0,232.5
247.0,235.0
248.0,236.5
249.0,237.0
250.0,237.5
251.0,238.5
252.0,238.5
253.0,238.5
254.0,238.5
255.0,238.5
256.0,238.5
257.0,238.5
258.0,238.5
259.0,238.5
260.0,238.5
261.0,237.5
262.0,236.0
263.0,235.0
264.0,233.5
265.0,232.5
266.0,232.0
267.0,232.0
272.0,234.0
276.0,236.0
277.0,236.0
280.0,232.5
281.0,227.0
285.0,230.0
286.0,232.0
287.0,234.0
288.0,235.0
289.0,235.5
290.0,235.5
291.0,235.5
292.0,235.5
293.0,236.0
294.0,235.5
295.0,236.5
296.0,236.5
301.0,235.5
305.0,235.0
306.0,232.0
307.0,230.5
308.0,231.5
309.0,233.0
310.0,234.0
311.0,236.0
312.0,236.5
313.0,236.5
314.0,236.5
315.0,237.0
316.0,238.0
317.0,238.5
322.0,236.0
323.0,237.0
324.0,238.0
325.0,238.5
326.0,238.5
327.0,238.5
328.0,238.5
329.0,238.5
330.0,238.5
331.0,237.0
332.0,237.5
333.0,238.5
334.0,238.5
335.0,238.5
336.0,238.5
337.0,238.5
338.0,238.0
340.0,236.5
342.0,231.0
343.0,233.0
344.0,236.0
345.0,236.5
346.0,236.5
347.0,236.5
348.0,237.0
349.0,237.5
350.0,237.0
351.0,236.5
352.0,236.5
353.0,237.0
354.0,237.5
355.0,237.0
356.0,237.5
357.0,238.0
358.0,237.0
359.0,236.5
360.0,236.5
361.0,236.5
362.0,236.5
363.0,237.0
364.0,238.0
365.0,237.5
366.0,236.5
367.0,237.0
368.0,238.0
369.0,237.0
370.0,236.5
371.0,236.5
372.0,236.5
373.0,236.5
374.0,236.5
375.0,236.5
376.0,235.5
377.0,235.0
378.0,234.5
380.0,228.5
381.0,226.5
382.0,229.5
383.0,231.5
384.0,233.0
385.0,235.0
386.0,235.5
387.0,236.5
388.0,237.0
389.0,238.0
390.0,238.0
391.0,237.0
392.0,237.5
393.0,238.5
394.0,238.5
395.0,238.5
396.0,238.5
397.0,238.5
398.0,237.0
399.0,236.0
400.0,234.5
401.0,234.0
402.0,235.0
403.0,236.5
404.0,236.5
405.0,236.5
406.0,236.5
407.0,236.5
408.0,236.5
409.0,237.0
410.0,238.0
411.0,238.5
412.0,238.5
413.0,238.0
414.0,237.0
415.0,237.0
416.0,238.5
417.0,237.5
418.0,235.0
419.0,233.0
420.0,233.5
421.0,234.5
422.0,236.5
423.0,236.5
424.0,236.5
425.0,236.5
426.0,236.5
427.0,236.5
428.0,236.5
429.0,236.5
430.0,236.5
431.0,236.5
432.0,236.5
433.0,236.5
434.0,236.0
435.0,235.5
436.0,234.5
437.0,234.0
438.0,234.0
