x,Fe-containing
476.0,238.0
477.0,237.5
478.0,237.5
479.0,236.5
480.0,234.5
481.0,233.5
482.0,233.5
483.0,235.0
484.0,232.5
485.0,233.5
486.0,236.0
487.0,240.0
488.0,242.0
489.0,245.0
490.0,244.5
491.0,246.0
492.0,243.5
493.0,234.5
494.0,227.5
495.0,229.0
496.0,234.0
497.0,236.0
498.0,236.5
499.0,239.0
500.0,240.0
511.0,246.0
512.0,241.625
514.0,240.5
515.0,239.0
516.0,234.5
517.0,233.33333333333334
518.0,235.5
519.0,243.5
520.0,243.0
521.0,245.0
522.0,245.0
523.0,245.5
524.0,246.5
528.0,249.5
529.0,250.5
530.0,249.5
531.0,247.5
532.0,247.5
533.0,246.0
534.0,242.5
535.0,239.5
536.0,237.5
537.0,239.5
538.0,240.0
542.0,240.0
543.0,243.5
544.0,244.0
545.0,246.0
546.0,247.0
547.0,247.5
548.0,243.5
549.0,244.0
550.0,247.0
551.0,246.5
552.0,245.0
553.0,245.0
554.0,248.5
555.0,249.0
556.0,248.5
557.0,248.0
558.0,249.5
559.0,249.0
560.0,246.0
561.0,244.5
562.0,244.0
564.0,247.5
565.0,249.0
566.0,250.0
567.0,248.0
568.0,247.5
569.0,248.5
570.0,248.5
571.0,247.5
572.0,246.0
573.0,246.5
574.0,248.5
575.0,247.0
576.0,245.5
577.0,244.5
578.0,247.0
579.0,248.5
580.0,250.75
581.0,251.5
582.0,252.0
583.0,251.0
584.0,249.5
585.0,251.0
586.0,252.0
587.0,252.5
588.0,249.5
589.0,247.0
590.0,246.0
591.0,242.5
592.0,240.5
593.0,240.5
594.0,239.0
595.0,235.5
596.0,232.5
597.0,228.5
598.0,228.5
599.0,227.5
600.0,235.0909090909091
601.0,237.0
602.0,239.0
603.0,242.5
604.0,245.5
605.0,247.5
606.0,247.0
607.0,246.0
608.0,244.5
609.0,242.5
610.0,238.0
611.0,230.5
612.0,223.6
614.0,212.33333333333334
615.0,203.5
616.0,200.5
617.0,201.5
618.0,207.2
619.0,225.58333333333334
620.0,228.0
621.0,231.0
622.0,239.5
623.0,247.0
624.0,247.5
625.0,247.5
626.0,247.0
627.0,245.5
628.0,242.0
629.0,235.5
630.0,228.5
631.0,220.5
632.0,214.5
633.0,212.5
634.0,214.5
635.0,214.5
636.0,213.5
637.0,213.0
638.0,218.5
639.0,225.5
640.0,228.5
641.0,232.0
642.0,237.5
643.0,239.5
644.0,237.5
645.0,235.5
646.0,235.5
647.0,233.5
648.0,230.0
649.0,224.0
650.0,220.5
651.0,220.5
652.0,218.0
653.0,217.0
654.0,214.5
655.0,211.5
656.0,207.5
657.0,208.0
658.0,220.0
659.0,222.0
660.0,231.0
661.0,234.0
662.0,233.5
663.0,233.5
664.0,238.5
665.0,240.5
666.0,238.0
667.0,235.5
668.0,233.0
669.0,221.0
670.0,213.0
671.0,209.0
672.0,214.5
673.0,219.5
674.0,224.5
675.0,229.0
676.0,232.0
677.0,234.0
678.0,231.5
679.0,231.0
680.0,234.5
681.0,233.0
682.0,230.0
683.0,233.5
684.0,233.5
688.0,236.5
689.0,224.0
690.0,223.5
691.0,230.5
692.0,231.0
693.0,232.0
694.0,236.5
695.0,241.5
696.0,242.5
697.0,243.5
698.0,243.0
699.0,242.5
700.0,242.5
701.0,241.5
702.0,242.0
703.0,241.5
704.0,242.5
705.0,246.0
706.0,246.5
707.0,248.5
708.0,247.0
709.0,245.5
710.0,244.0
711.0,243.5
712.0,245.0
713.0,246.5
714.0,246.0
715.0,244.5
716.0,246.0
717.0,248.5
718.0,249.5
719.0,249.0
720.0,247.5
721.0,246.5
722.0,245.5
723.0,244.0
724.0,244.5
725.0,246.0
726.0,247.0
727.0,248.0
728.0,248.0
729.0,246.5
730.0,245.5
731.0,245.0
732.0,244.0
733.0,242.0
734.0,240.0
735.0,226.0
736.0,217.88888888888889
737.0,220.375
738.0,235.57142857142858
744.0,245.0
746.0,254.0
747.0,254.0
750.0,252.0
751.0,251.5
752.0,251.5
753.0,251.5
754.0,250.0
755.0,248.75
756.0,250.5
757.0,251.0
758.0,251.5
