x,CO
60.0,50.31818181818182
61.0,48.27272727272727
62.0,48.68181818181818
63.0,49.090909090909086
64.0,49.909090909090914
65.0,52.772727272727266
66.0,55.63636363636363
67.0,61.36363636363636
68.0,63.409090909090914
69.0,60.54545454545455
70.0,54.81818181818182
71.0,51.13636363636364
72.0,50.72727272727273
73.0,50.72727272727273
74.0,52.36363636363636
75.0,55.22727272727273
76.0,58.09090909090909
77.0,59.727272727272734
78.0,61.36363636363636
79.0,63.81818181818182
80.0,67.0909090909091
81.0,69.13636363636364
82.0,69.54545454545455
83.0,69.13636363636364
84.0,67.9090909090909
85.0,68.72727272727273
86.0,71.5909090909091
87.0,74.45454545454545
88.0,76.0909090909091
89.0,74.04545454545455
90.0,69.95454545454545
91.0,66.68181818181819
92.0,61.77272727272727
93.0,56.86363636363637
94.0,50.72727272727273
95.0,49.50000000000001
96.0,49.090909090909086
97.0,48.27272727272727
98.0,48.27272727272727
99.0,49.909090909090914
100.0,51.54545454545455
101.0,52.36363636363636
102.0,51.54545454545455
103.0,52.36363636363636
104.0,56.04545454545454
105.0,62.590909090909086
106.0,64.63636363636363
107.0,63.409090909090914
108.0,59.31818181818181
109.0,57.27272727272727
110.0,55.63636363636363
111.0,55.63636363636363
112.0,55.63636363636363
113.0,58.09090909090909
114.0,62.18181818181818
115.0,68.31818181818181
116.0,74.86363636363636
117.0,78.95454545454545
118.0,80.18181818181817
119.0,76.9090909090909
120.0,72.81818181818181
121.0,72.0
122.0,70.77272727272728
123.0,69.95454545454545
124.0,73.63636363636364
125.0,78.54545454545455
126.0,79.36363636363636
127.0,72.81818181818181
128.0,66.68181818181819
129.0,56.04545454545454
130.0,49.50000000000001
131.0,43.77272727272727
132.0,43.77272727272727
133.0,47.04545454545455
134.0,51.13636363636364
135.0,54.40909090909091
136.0,56.04545454545454
137.0,57.68181818181818
138.0,58.09090909090909
139.0,57.27272727272727
140.0,55.63636363636363
141.0,55.22727272727273
142.0,56.45454545454546
143.0,58.90909090909091
144.0,62.99999999999999
145.0,65.86363636363636
146.0,67.9090909090909
147.0,66.68181818181819
148.0,64.22727272727272
