x,Wind_speed_(m/s)
0.0,4.18716577540107
1.0,4.251336898395722
2.0,4.267379679144385
3.0,4.355614973262032
4.0,4.3957219251336905
5.0,4.512605042016807
6.0,4.588235294117647
7.0,4.643850267379679
8.0,4.684491978609626
9.0,4.684491978609626
10.0,4.668449197860962
11.0,4.668449197860962
12.0,4.658240155566359
13.0,4.732620320855615
14.0,4.764705882352941
15.0,4.692513368983957
16.0,4.654411764705882
17.0,4.627196333078686
18.0,4.593897452028941
19.0,4.475935828877005
20.0,4.397609311104121
21.0,4.361497326203208
22.0,4.189171122994653
23.0,4.078877005347594
24.0,3.8749485808309334
25.0,3.5105379050015726
26.0,3.2381735911147675
27.0,3.0822192513368982
28.0,2.835870012340601
29.0,2.9647058823529413
30.0,3.046122994652406
31.0,3.192513368983957
32.0,3.215960510078157
33.0,3.192513368983957
34.0,3.180748663101604
35.0,3.1833460656990065
36.0,3.253475935828877
37.0,3.3454545454545457
38.0,3.5047305635540926
39.0,3.502673796791444
40.0,3.552941176470588
41.0,3.577540106951872
42.0,3.5614973262032086
43.0,3.6042780748663104
44.0,3.6760886172650875
45.0,3.737967914438503
46.0,3.9405080213903743
47.0,4.050802139037433
48.0,4.2032085561497325
49.0,4.185160427807487
50.0,4.208144796380091
51.0,4.0446681346335325
52.0,3.8305224187577127
53.0,3.8305224187577127
54.0,3.8305224187577127
55.0,3.9653979238754324
56.0,4.032085561497326
57.0,4.18716577540107
58.0,4.511229946524064
59.0,4.750954927425516
60.0,4.929717341482047
61.0,5.034965034965035
62.0,5.310160427807487
63.0,5.310160427807487
64.0,5.32620320855615
65.0,5.32620320855615
66.0,5.358288770053476
67.0,5.342245989304812
68.0,5.32620320855615
69.0,5.290909090909091
70.0,5.179526355996944
71.0,5.153434800493624
72.0,5.021390374331551
73.0,4.949197860962567
74.0,4.86096256684492
75.0,4.828877005347594
76.0,4.732620320855615
77.0,4.764705882352941
78.0,4.780748663101604
79.0,4.716577540106952
80.0,4.686379364580056
81.0,4.599694423223835
82.0,4.482541679773513
83.0,4.306869600987247
84.0,4.3229946524064164
85.0,4.341423282599754
86.0,4.43783422459893
87.0,4.524064171122995
88.0,4.656990068754775
89.0,4.596256684491978
90.0,4.553857906799083
91.0,4.509479824987846
92.0,4.524064171122995
93.0,4.558155080213903
94.0,4.590122680088078
95.0,4.684491978609626
96.0,4.668449197860962
97.0,4.636363636363637
98.0,4.563025210084034
99.0,4.544690603514133
100.0,4.521596051007816
101.0,4.501851090086385
102.0,4.427807486631016
103.0,4.443850267379679
104.0,4.427807486631016
105.0,4.491978609625669
106.0,4.516659810777458
107.0,4.543809132044426
108.0,4.5736509479824985
109.0,4.684491978609626
110.0,4.468643655809432
111.0,4.410530645824763
112.0,4.333438188109469
113.0,4.288140924819126
114.0,4.2032085561497325
115.0,4.235294117647059
116.0,4.287797763733592
117.0,4.198272315919374
118.0,4.1550802139037435
119.0,4.086325439266616
120.0,4.013163307280955
121.0,3.834224598930481
122.0,4.1619556913674565
123.0,4.258823529411764
124.0,4.388317564788153
125.0,4.748663101604278
126.0,4.655323286339329
127.0,4.581818181818182
128.0,4.543809132044426
129.0,4.477169888934595
