x,CO
464.0,195.0
465.0,191.0
466.0,186.5
467.0,183.0
468.0,184.5
469.0,187.5
470.0,191.0
471.0,193.5
472.0,197.0
473.0,198.5
474.0,200.0
475.0,201.0
476.0,203.5
477.0,206.5
478.0,212.0
479.0,216.0
480.0,220.0
481.0,221.5
482.0,220.0
483.0,214.5
484.0,209.0
485.0,203.5
486.0,201.0
487.0,200.5
488.0,199.0
489.0,198.0
490.0,197.5
491.0,198.0
492.0,198.0
493.0,197.5
494.0,195.5
495.0,190.0
496.0,188.0
497.0,191.5
498.0,200.5
499.0,207.5
500.0,212.0
501.0,213.5
502.0,213.0
503.0,210.0
504.0,207.0
505.0,205.5
506.0,205.5
507.0,205.0
508.0,205.5
509.0,207.0
510.0,209.0
511.0,211.5
512.0,212.5
513.0,214.0
514.0,215.5
515.0,216.5
516.0,216.0
517.0,216.5
518.0,218.0
519.0,219.0
520.0,220.5
521.0,221.0
522.0,220.0
523.0,218.0
524.0,216.5
525.0,215.0
526.0,214.0
527.0,213.5
528.0,213.0
529.0,213.0
530.0,215.0
531.0,216.0
532.0,216.0
533.0,214.5
534.0,212.0
535.0,212.0
536.0,215.0
537.0,218.5
538.0,220.0
539.0,221.0
540.0,222.0
541.0,223.0
542.0,221.0
543.0,215.5
544.0,208.5
545.0,204.0
546.0,200.5
547.0,200.0
548.0,204.5
549.0,210.0
550.0,213.5
551.0,213.5
552.0,210.5
553.0,208.0
554.0,206.0
555.0,207.5
556.0,211.5
557.0,215.0
558.0,217.5
559.0,217.5
560.0,213.5
561.0,211.5
562.0,213.5
563.0,214.0
564.0,214.5
565.0,215.5
566.0,216.0
567.0,216.0
568.0,216.5
569.0,216.5
570.0,216.5
571.0,215.0
572.0,212.5
573.0,209.5
574.0,209.5
575.0,211.0
576.0,215.0
577.0,218.0
578.0,219.5
579.0,219.5
580.0,217.5
581.0,216.0
582.0,214.0
583.0,211.0
584.0,209.5
587.0,208.5
588.0,209.5
589.0,211.0
590.0,211.5
591.0,208.5
592.0,205.5
593.0,204.5
594.0,208.0
595.0,212.0
596.0,215.5
597.0,217.5
598.0,217.5
599.0,217.0
600.0,214.5
601.0,210.5
602.0,205.0
603.0,199.5
604.0,195.0
605.0,194.0
606.0,195.5
607.0,197.5
608.0,196.5
609.0,195.0
610.0,193.5
611.0,184.5
612.0,181.0
613.0,183.0
614.0,194.5
615.0,202.5
616.0,208.5
617.0,211.0
618.0,212.0
619.0,209.5
620.0,205.0
621.0,199.5
622.0,193.0
623.0,185.5
624.0,181.5
625.0,180.5
626.0,181.5
627.0,185.5
628.0,188.0
629.0,189.5
630.0,184.5
631.0,177.5
632.0,175.5
633.0,182.0
634.0,191.5
635.0,199.5
636.0,205.0
637.0,207.0
638.0,205.0
639.0,199.5
640.0,189.0
641.0,178.5
642.0,167.0
643.0,158.5
644.0,158.5
645.0,162.0
646.0,166.5
647.0,171.0
648.0,174.0
649.0,172.0
650.0,161.5
651.0,158.5
652.0,162.0
653.0,176.0
654.0,189.5
655.0,196.0
656.0,200.0
657.0,200.5
658.0,198.5
659.0,195.0
660.0,191.5
661.0,186.5
662.0,182.5
663.0,177.5
664.0,174.0
665.0,174.0
666.0,174.0
667.0,175.0
668.0,175.0
669.0,169.5
670.0,164.0
671.0,163.0
672.0,172.5
673.0,184.5
674.0,192.0
675.0,198.5
676.0,201.0
677.0,199.5
678.0,195.5
679.0,187.5
680.0,180.5
681.0,176.0
682.0,174.5
683.0,173.5
684.0,173.0
685.0,177.5
686.0,183.5
687.0,188.5
688.0,189.5
689.0,187.5
690.0,186.5
691.0,187.0
692.0,188.0
693.0,189.5
694.0,191.0
695.0,192.0
696.0,193.0
697.0,191.0
698.0,188.5
699.0,189.0
700.0,192.0
701.0,193.0
702.0,194.0
703.0,194.5
704.0,194.5
705.0,196.5
706.0,198.0
707.0,198.5
708.0,196.5
709.0,195.0
710.0,192.0
711.0,190.5
712.0,191.0
713.0,191.0
714.0,190.0
715.0,189.5
716.0,190.0
717.0,188.5
718.0,187.5
719.0,185.0
720.0,185.5
721.0,189.0
722.0,191.5
723.0,193.0
724.0,192.5
725.0,193.5
726.0,194.5
727.0,194.0
728.0,192.0
729.0,190.0
730.0,189.5
731.0,190.5
732.0,192.5
733.0,195.5
734.0,197.5
735.0,197.0
736.0,195.5
737.0,195.0
738.0,193.5
739.0,194.5
740.0,196.5
741.0,196.5
742.0,195.5
743.0,196.5
744.0,197.5
745.0,197.5
746.0,196.5
747.0,195.0
748.0,193.0
749.0,192.5
750.0,191.5
751.0,191.5
752.0,192.0
753.0,193.0
754.0,193.5
755.0,193.0
756.0,193.5
757.0,194.5
758.0,194.5
