x,NO₂
60.0,60.54545454545455
61.0,62.18181818181818
62.0,62.18181818181818
63.0,59.31818181818181
64.0,58.09090909090909
65.0,60.95454545454545
71.0,37.22727272727273
72.0,35.59090909090909
73.0,37.22727272727273
74.0,40.090909090909086
75.0,43.77272727272727
78.0,59.52272727272727
79.0,69.54545454545455
82.0,64.63636363636363
83.0,62.590909090909086
84.0,60.13636363636364
85.0,58.5
86.0,57.68181818181818
87.0,58.5
88.0,61.36363636363636
89.0,64.22727272727272
101.0,31.90909090909091
102.0,32.72727272727273
104.0,38.86363636363637
105.0,41.31818181818182
106.0,46.227272727272734
109.0,46.63636363636364
110.0,44.18181818181818
111.0,41.72727272727273
112.0,42.13636363636364
113.0,47.04545454545455
114.0,50.31818181818182
118.0,61.77272727272727
119.0,58.09090909090909
120.0,52.772727272727266
121.0,51.95454545454545
125.0,51.95454545454545
126.0,55.63636363636363
127.0,56.45454545454546
131.0,38.45454545454545
132.0,38.04545454545455
137.0,43.77272727272727
139.0,31.499999999999996
140.0,31.09090909090909
143.0,37.63636363636363
144.0,42.95454545454545
145.0,45.40909090909091
147.0,45.0
150.0,32.72727272727273
151.0,35.18181818181819
154.0,81.4090909090909
157.0,72.4090909090909
158.0,67.0909090909091
159.0,61.77272727272727
160.0,54.81818181818182
161.0,51.54545454545455
162.0,49.50000000000001
163.0,49.909090909090914
164.0,51.54545454545455
165.0,56.86363636363637
166.0,60.13636363636364
170.0,42.54545454545455
171.0,39.68181818181818
172.0,36.0
175.0,56.45454545454546
176.0,55.63636363636363
177.0,57.68181818181818
178.0,58.5
179.0,55.63636363636363
180.0,52.772727272727266
181.0,48.68181818181818
182.0,47.04545454545455
183.0,50.31818181818182
184.0,54.81818181818182
185.0,58.5
186.0,59.31818181818181
187.0,56.04545454545454
188.0,54.0
189.0,51.95454545454545
190.0,52.772727272727266
191.0,54.40909090909091
192.0,56.45454545454546
193.0,61.36363636363636
194.0,62.99999999999999
195.0,62.18181818181818
196.0,59.31818181818181
197.0,55.63636363636363
198.0,51.95454545454545
199.0,48.68181818181818
200.0,46.63636363636364
201.0,47.04545454545455
202.0,47.86363636363637
203.0,47.86363636363637
204.0,47.45454545454545
205.0,46.63636363636364
208.0,31.499999999999996
209.0,28.636363636363637
210.0,31.499999999999996
213.0,60.54545454545455
214.0,65.86363636363636
215.0,65.86363636363636
216.0,64.63636363636363
217.0,60.95454545454545
218.0,57.27272727272727
219.0,54.40909090909091
222.0,51.13636363636364
223.0,51.95454545454545
227.0,25.363636363636363
228.0,21.68181818181818
229.0,22.909090909090907
230.0,26.18181818181818
231.0,31.09090909090909
233.0,57.27272727272727
234.0,56.04545454545454
235.0,55.22727272727273
236.0,54.81818181818182
237.0,54.40909090909091
239.0,45.81818181818181
241.0,49.090909090909086
242.0,53.18181818181819
243.0,56.86363636363637
246.0,28.22727272727273
247.0,21.68181818181818
248.0,19.636363636363637
249.0,23.727272727272727
250.0,29.863636363636367
253.0,65.86363636363636
254.0,62.99999999999999
255.0,58.5
256.0,56.04545454545454
257.0,60.54545454545455
258.0,63.81818181818182
259.0,64.63636363636363
260.0,65.86363636363636
261.0,68.31818181818181
262.0,70.77272727272728
263.0,70.36363636363637
264.0,63.81818181818182
265.0,59.93181818181818
266.0,63.81818181818182
267.0,74.86363636363636
268.0,83.04545454545455
269.0,94.0909090909091
270.0,100.63636363636364
271.0,100.63636363636364
272.0,96.13636363636363
273.0,92.45454545454547
274.0,80.18181818181817
275.0,76.9090909090909
276.0,69.95454545454545
277.0,65.04545454545455
278.0,60.54545454545455
279.0,58.90909090909091
280.0,59.31818181818181
281.0,60.95454545454545
282.0,64.63636363636363
286.0,37.63636363636363
287.0,36.40909090909091
