x,PM₂.₅
60.0,87.27272727272727
61.0,94.77272727272728
62.0,100.22727272727273
63.0,105.68181818181819
64.0,108.40909090909092
65.0,114.54545454545455
66.0,117.95454545454545
67.0,124.77272727272727
68.0,128.1818181818182
69.0,127.5
70.0,126.13636363636364
71.0,124.77272727272727
72.0,125.45454545454545
73.0,130.22727272727272
74.0,135.6818181818182
75.0,139.0909090909091
76.0,141.13636363636363
77.0,141.13636363636363
78.0,141.13636363636363
79.0,144.54545454545453
80.0,148.63636363636365
81.0,148.63636363636365
82.0,147.95454545454544
83.0,145.22727272727272
84.0,143.1818181818182
85.0,143.1818181818182
86.0,141.13636363636363
87.0,139.0909090909091
88.0,137.72727272727272
89.0,136.36363636363635
91.0,62.04545454545455
92.0,49.77272727272727
93.0,42.27272727272727
94.0,39.54545454545454
95.0,40.90909090909091
96.0,46.36363636363636
97.0,51.81818181818182
98.0,54.54545454545455
99.0,53.86363636363636
100.0,51.81818181818182
101.0,52.5
102.0,53.18181818181818
103.0,51.81818181818182
104.0,48.409090909090914
105.0,46.36363636363636
106.0,47.04545454545455
107.0,49.77272727272727
108.0,52.5
109.0,54.54545454545455
110.0,57.27272727272727
111.0,62.04545454545455
112.0,65.45454545454545
113.0,69.54545454545455
114.0,72.95454545454545
115.0,74.31818181818183
116.0,73.63636363636364
117.0,71.5909090909091
118.0,72.27272727272727
119.0,70.9090909090909
120.0,70.22727272727273
121.0,70.9090909090909
122.0,73.63636363636364
123.0,75.0
124.0,72.27272727272727
125.0,64.77272727272728
126.0,56.590909090909086
127.0,51.13636363636363
128.0,49.09090909090909
129.0,53.18181818181818
130.0,62.72727272727273
131.0,68.18181818181817
132.0,68.18181818181817
133.0,63.40909090909091
134.0,58.63636363636364
135.0,57.95454545454545
136.0,58.63636363636364
137.0,60.68181818181818
138.0,63.40909090909091
139.0,65.45454545454545
140.0,67.5
141.0,68.18181818181817
142.0,69.54545454545455
143.0,68.86363636363636
144.0,64.0909090909091
145.0,59.31818181818182
146.0,53.86363636363636
147.0,54.54545454545455
148.0,56.590909090909086
149.0,64.77272727272728
150.0,74.31818181818183
151.0,86.5909090909091
152.0,96.81818181818183
153.0,100.9090909090909
154.0,102.95454545454545
155.0,102.95454545454545
156.0,103.63636363636364
157.0,104.31818181818181
158.0,103.63636363636364
159.0,102.27272727272727
160.0,105.0
161.0,112.5
162.0,120.0
163.0,118.63636363636364
164.0,108.40909090909092
165.0,89.31818181818181
166.0,74.31818181818183
167.0,66.81818181818181
168.0,60.0
169.0,58.63636363636364
170.0,58.63636363636364
171.0,61.36363636363637
172.0,64.0909090909091
173.0,64.0909090909091
174.0,64.0909090909091
175.0,66.81818181818181
176.0,70.22727272727273
177.0,72.27272727272727
178.0,72.27272727272727
179.0,71.5909090909091
180.0,69.54545454545455
181.0,68.86363636363636
182.0,68.18181818181817
183.0,67.5
184.0,66.13636363636364
185.0,64.77272727272728
186.0,67.5
187.0,69.54545454545455
188.0,73.63636363636364
189.0,72.27272727272727
190.0,71.5909090909091
191.0,70.22727272727273
192.0,67.5
193.0,63.40909090909091
194.0,60.0
195.0,56.590909090909086
196.0,54.54545454545455
197.0,55.909090909090914
198.0,57.95454545454545
199.0,60.68181818181818
200.0,58.63636363636364
201.0,53.86363636363636
202.0,46.36363636363636
203.0,41.59090909090909
204.0,37.5
205.0,38.86363636363637
206.0,40.90909090909091
207.0,42.95454545454545
208.0,45.0
209.0,45.0
210.0,45.68181818181819
211.0,48.409090909090914
212.0,51.13636363636363
213.0,51.81818181818182
214.0,53.18181818181818
215.0,54.54545454545455
216.0,57.27272727272727
217.0,60.68181818181818
218.0,62.04545454545455
219.0,58.63636363636364
