x,PM₁₀
60.0,163.5
61.0,158.5
62.0,155.5
63.0,152.0
64.0,148.5
65.0,143.0
66.0,139.0
67.0,134.5
68.0,134.5
69.0,137.0
70.0,137.0
71.0,136.5
72.0,132.5
73.0,127.5
74.0,122.5
75.0,118.5
76.0,116.0
77.0,114.5
78.0,114.0
79.0,113.0
80.0,113.0
81.0,114.0
82.0,114.0
83.0,115.0
84.0,116.0
85.0,116.0
86.0,116.0
87.0,118.0
88.0,119.0
89.0,120.5
90.0,136.0
91.0,163.0
92.0,186.5
93.0,209.5
94.0,214.5
95.0,214.0
96.0,209.0
97.0,206.5
98.0,206.0
99.0,207.0
100.0,208.0
101.0,208.0
102.0,207.5
103.0,208.0
104.0,211.5
105.0,213.0
106.0,212.0
107.0,209.5
108.0,206.5
109.0,203.0
110.0,200.0
111.0,194.5
112.0,189.0
113.0,183.5
114.0,179.0
115.0,175.5
116.0,174.5
117.0,175.5
118.0,177.5
119.0,178.5
120.0,178.5
121.0,178.0
122.0,175.5
123.0,173.5
124.0,175.0
125.0,180.0
126.0,187.0
127.0,192.5
128.0,194.5
129.0,191.5
130.0,183.0
131.0,178.5
132.0,178.0
133.0,183.5
134.0,188.0
135.0,189.0
136.0,188.5
137.0,188.5
138.0,187.5
139.0,187.0
140.0,187.0
141.0,185.5
142.0,183.0
143.0,183.0
144.0,187.5
145.0,192.0
146.0,196.0
147.0,195.5
148.0,191.5
149.0,181.0
150.0,169.5
151.0,154.5
152.0,145.5
153.0,139.5
154.0,139.0
155.0,141.0
156.0,143.5
157.0,145.5
158.0,147.5
159.0,148.0
160.0,145.5
161.0,143.0
162.0,136.5
163.0,139.0
164.0,148.0
165.0,159.5
166.0,175.0
167.0,186.0
168.0,193.0
169.0,195.5
170.0,194.5
171.0,191.5
172.0,188.5
173.0,188.5
174.0,188.5
175.0,186.5
176.0,184.0
177.0,182.5
178.0,182.0
179.0,183.0
180.0,183.0
181.0,183.0
182.0,184.5
183.0,185.5
184.0,187.5
185.0,188.0
186.0,186.5
187.0,182.5
188.0,178.0
189.0,178.0
190.0,179.0
191.0,180.0
192.0,183.5
193.0,188.5
194.0,193.0
195.0,198.0
196.0,200.0
197.0,200.0
198.0,198.5
199.0,197.0
200.0,199.0
201.0,202.5
202.0,209.0
203.0,212.0
204.0,214.5
205.0,213.0
206.0,209.5
207.0,205.5
208.0,202.5
209.0,200.5
210.0,198.0
211.0,195.5
212.0,192.0
213.0,191.5
214.0,191.0
215.0,189.0
216.0,185.5
217.0,182.0
218.0,180.0
219.0,185.0
220.0,193.0
221.0,204.5
222.0,208.5
223.0,210.5
224.0,209.0
225.0,206.5
226.0,202.5
227.0,199.5
228.0,197.0
229.0,193.0
230.0,190.0
231.0,186.0
232.0,184.5
233.0,182.5
234.0,182.0
235.0,180.0
236.0,175.5
237.0,170.5
238.0,170.0
239.0,176.5
240.0,186.0
241.0,192.5
242.0,199.0
243.0,199.0
244.0,193.0
245.0,188.5
246.0,184.5
247.0,183.0
248.0,184.0
249.0,184.0
250.0,183.0
251.0,181.0
252.0,180.5
253.0,179.0
254.0,177.5
255.0,173.5
256.0,168.0
257.0,162.5
258.0,158.5
259.0,153.5
260.0,149.0
261.0,143.0
262.0,135.5
263.0,128.5
264.0,120.0
265.0,114.5
266.0,112.0
267.0,113.5
268.0,119.0
269.0,122.0
270.0,124.5
271.0,125.5
272.0,126.5
273.0,125.0
274.0,120.5
275.0,115.5
276.0,112.5
277.0,117.0
278.0,130.5
279.0,135.5
280.0,141.0
281.0,142.5
282.0,138.0
283.0,132.5
284.0,125.5
285.0,120.5
286.0,118.0
287.0,115.5
288.0,113.0
289.0,112.5
290.0,113.0
291.0,111.5
292.0,111.5
293.0,108.5
294.0,103.0
295.0,98.5
296.0,94.5
297.0,91.5
298.0,88.0
299.0,89.0
300.0,87.5
301.0,89.5
302.0,109.5
303.0,138.0
304.0,169.0
305.0,187.0
306.0,197.0
307.0,198.0
308.0,197.0
309.0,197.0
310.0,198.0
311.0,195.0
312.0,192.5
313.0,190.5
314.0,196.0
315.0,203.0
316.0,212.0
317.0,216.0
318.0,220.5
319.0,222.0
320.0,218.5
321.0,213.5
322.0,207.0
323.0,202.0
324.0,199.5
325.0,199.0
326.0,201.0
327.0,201.0
328.0,196.5
329.0,192.5
330.0,188.0
331.0,186.0
332.0,183.0
333.0,184.5
334.0,189.0
335.0,193.5
336.0,195.5
337.0,195.5
338.0,195.5
339.0,193.5
340.0,190.5
341.0,185.5
342.0,181.0
343.0,177.5
344.0,174.5
345.0,172.5
346.0,172.5
347.0,174.0
348.0,174.5
349.0,175.0
350.0,173.5
351.0,172.0
352.0,174.5
353.0,185.0
354.0,197.0
355.0,210.5
356.0,215.5
357.0,216.0
358.0,211.5
359.0,203.5
360.0,195.0
361.0,188.0
362.0,185.0
363.0,182.5
364.0,182.5
365.0,181.5
366.0,181.5
367.0,180.5
