x,O₃
60.0,41.72727272727273
61.0,36.81818181818182
62.0,30.68181818181818
63.0,25.772727272727273
64.0,22.909090909090907
65.0,16.772727272727273
66.0,12.272727272727272
67.0,12.272727272727272
68.0,20.863636363636363
69.0,36.0
70.0,65.86363636363636
71.0,81.4090909090909
72.0,88.77272727272727
73.0,91.22727272727273
74.0,85.5
75.0,73.22727272727272
76.0,59.66666666666667
77.0,43.36363636363636
78.0,29.045454545454547
79.0,19.227272727272727
80.0,10.227272727272727
81.0,7.7727272727272725
82.0,8.181818181818182
83.0,7.7727272727272725
84.0,6.954545454545454
85.0,4.5
86.0,4.090909090909091
87.0,4.090909090909091
88.0,6.954545454545454
89.0,8.590909090909092
90.0,12.681818181818182
91.0,18.40909090909091
92.0,27.818181818181817
93.0,36.0
94.0,39.68181818181818
95.0,33.95454545454545
96.0,29.127272727272725
97.0,27.0
98.0,27.0
99.0,27.818181818181817
100.0,26.18181818181818
101.0,20.454545454545453
102.0,17.181818181818183
103.0,12.272727272727272
104.0,8.590909090909092
105.0,6.545454545454545
106.0,6.545454545454545
107.0,11.045454545454545
108.0,16.363636363636363
109.0,20.863636363636363
110.0,24.954545454545457
111.0,29.863636363636367
112.0,31.499999999999996
113.0,27.0
114.0,18.40909090909091
115.0,9.0
116.0,4.5
117.0,3.6818181818181817
118.0,4.5
119.0,5.318181818181818
120.0,5.727272727272727
121.0,4.909090909090909
122.0,4.909090909090909
123.0,5.318181818181818
124.0,5.318181818181818
125.0,4.5
126.0,6.545454545454545
127.0,14.318181818181818
128.0,26.18181818181818
129.0,37.22727272727273
130.0,66.27272727272727
131.0,65.86363636363636
132.0,65.45454545454545
133.0,61.36363636363636
134.0,41.31818181818182
135.0,40.90909090909091
136.0,38.86363636363637
137.0,36.81818181818182
138.0,36.0
139.0,39.68181818181818
140.0,41.31818181818182
141.0,37.63636363636363
142.0,29.045454545454547
143.0,21.68181818181818
144.0,14.318181818181818
145.0,12.272727272727272
146.0,15.954545454545455
147.0,24.954545454545457
148.0,34.36363636363637
149.0,47.04545454545455
150.0,57.49586776859504
151.0,64.63636363636363
152.0,48.590909090909086
153.0,34.36363636363637
154.0,20.863636363636363
155.0,7.7727272727272725
156.0,6.136363636363636
157.0,6.954545454545454
158.0,9.0
159.0,9.409090909090908
160.0,9.818181818181818
161.0,8.590909090909092
162.0,7.363636363636363
163.0,5.727272727272727
164.0,6.136363636363636
165.0,10.227272727272727
166.0,20.863636363636363
167.0,35.59090909090909
168.0,48.27272727272727
169.0,74.86363636363636
170.0,75.68181818181819
171.0,74.86363636363636
172.0,68.31818181818181
173.0,45.301435406698566
174.0,40.090909090909086
