x,Fe-containing
60.0,70.9090909090909
61.0,79.09090909090908
62.0,85.9090909090909
63.0,92.72727272727272
64.0,115.77272727272728
65.0,102.95454545454545
66.0,104.31818181818181
67.0,110.45454545454545
68.0,115.22727272727273
69.0,107.04545454545455
70.0,103.63636363636364
71.0,98.86363636363636
72.0,92.04545454545455
73.0,103.63636363636364
74.0,107.04545454545455
75.0,102.27272727272727
76.0,101.5909090909091
77.0,105.0
78.0,104.31818181818181
79.0,102.27272727272727
80.0,102.95454545454545
81.0,124.77272727272727
82.0,129.54545454545456
83.0,127.5
84.0,126.81818181818181
85.0,124.0909090909091
86.0,128.72727272727275
87.0,151.02272727272728
88.0,157.5
95.0,67.5
96.0,69.54545454545455
97.0,45.68181818181819
98.0,39.54545454545454
99.0,35.45454545454545
100.0,33.40909090909091
101.0,30.681818181818183
102.0,30.0
103.0,29.31818181818182
104.0,34.090909090909086
105.0,37.5
106.0,38.18181818181818
107.0,34.77272727272727
108.0,30.0
109.0,30.681818181818183
110.0,30.681818181818183
111.0,33.40909090909091
112.0,40.22727272727273
113.0,39.54545454545454
114.0,42.27272727272727
115.0,47.04545454545455
116.0,45.0
117.0,45.68181818181819
118.0,50.45454545454545
119.0,50.45454545454545
120.0,47.04545454545455
121.0,44.31818181818182
122.0,47.72727272727273
123.0,53.86363636363636
124.0,55.909090909090914
125.0,47.72727272727273
126.0,42.27272727272727
127.0,38.18181818181818
128.0,28.636363636363637
129.0,25.90909090909091
130.0,29.31818181818182
131.0,31.363636363636363
132.0,36.81818181818182
133.0,47.04545454545455
134.0,47.72727272727273
135.0,49.77272727272727
136.0,40.90909090909091
137.0,37.5
138.0,40.22727272727273
139.0,42.27272727272727
140.0,47.72727272727273
141.0,45.68181818181819
142.0,49.77272727272727
143.0,53.18181818181818
144.0,49.77272727272727
145.0,60.68181818181818
146.0,55.909090909090914
147.0,44.31818181818182
148.0,42.27272727272727
149.0,38.18181818181818
150.0,39.54545454545454
151.0,47.72727272727273
152.0,56.590909090909086
153.0,60.0
154.0,68.18181818181817
155.0,72.27272727272727
156.0,80.45454545454545
157.0,81.81818181818181
158.0,86.5909090909091
159.0,88.63636363636364
160.0,87.95454545454545
161.0,90.68181818181817
162.0,125.15810276679844
163.0,130.9090909090909
167.0,51.13636363636363
168.0,49.09090909090909
169.0,43.63636363636363
170.0,39.54545454545454
171.0,36.13636363636363
172.0,34.090909090909086
173.0,34.090909090909086
174.0,39.54545454545454
175.0,51.81818181818182
176.0,58.63636363636364
177.0,64.77272727272728
178.0,63.40909090909091
179.0,57.95454545454545
180.0,56.590909090909086
181.0,74.84848484848484
182.0,100.12987012987011
183.0,108.1993006993007
184.0,87.31534090909092
185.0,71.5909090909091
186.0,56.590909090909086
187.0,57.27272727272727
188.0,58.63636363636364
189.0,55.22727272727273
190.0,49.09090909090909
191.0,46.36363636363636
192.0,45.68181818181819
193.0,40.22727272727273
194.0,42.27272727272727
195.0,42.95454545454545
196.0,44.31818181818182
197.0,36.13636363636363
198.0,32.04545454545455
199.0,30.681818181818183
200.0,30.681818181818183
201.0,28.636363636363637
202.0,30.0
204.0,46.36363636363636
205.0,42.27272727272727
206.0,34.090909090909086
207.0,41.70454545454547
208.0,39.20454545454545
209.0,34.090909090909086
210.0,29.31818181818182
211.0,27.954545454545457
212.0,32.500000000000014
213.0,41.2190082644628
214.0,41.77033492822965
215.0,37.5
216.0,39.54545454545454
217.0,38.86363636363637
218.0,43.63636363636363
219.0,35.45454545454545
220.0,30.681818181818183
221.0,27.272727272727273
222.0,27.272727272727273
223.0,26.59090909090909
224.0,27.954545454545457
225.0,29.31818181818182
226.0,31.363636363636363
227.0,32.72727272727273
228.0,28.636363636363637
229.0,27.272727272727273
230.0,30.681818181818183
231.0,33.40909090909091
232.0,38.18181818181818
233.0,43.63636363636363
234.0,42.27272727272727
235.0,40.22727272727273
236.0,47.04545454545455
237.0,52.5
238.0,58.63636363636364
239.0,53.86363636363636
240.0,42.95454545454545
